Date,Weight
27 Aug 2019,67.1 
20 Aug 2019,66.2 
13 Aug 2019,66.8 
6 Aug 2019,66 
30 Jul 2019,66.1 
23 Jul 2019,65.6 
16 Jul 2019,66.7 
9 Jul 2019,66.6 
2 Jul 2019,66.8 
25 Jun 2019,66.2 
18 Jun 2019,66.2 
11 Jun 2019,65.4 
4 Jun 2019,65.7 
28 May 2019,66.5 
21 May 2019,65.9 
14 May 2019,65.6 
7 May 2019,64.9 
30 Apr 2019,65.1 
23 Apr 2019,65.5 
16 Apr 2019,65.2 
9 Apr 2019,64.7 
2 Apr 2019,65.6 
26 Mar 2019,65.3 
19 Mar 2019,64.6 
12 Mar 2019,64.4 
5 Mar 2019,65.2 
26 Feb 2019,65.2 
19 Feb 2019,65.1 
12 Feb 2019,64.6 
5 Feb 2019,64.8 
29 Jan 2019,64.6 
22 Jan 2019,63.4 
15 Jan 2019,63.9 
8 Jan 2019,64.1 
25 Dec 2018,64 
18 Dec 2018,64.2 
11 Dec 2018,64.5 
4 Dec 2018,64.2 
27 Nov 2018,63.7 
20 Nov 2018,63.5 
13 Nov 2018,63 
7 Nov 2018,62.2 
30 Oct 2018,62.8 
23 Oct 2018,63.3 
16 Oct 2018,62.3 
9 Oct 2018,62.6 
2 Oct 2018,61.8 
25 Sep 2018,61.8 
19 Sep 2018,60 
